TID,CID,CTID,SourceID,id,number,title,length,artist,album,year,language
1,1,1,2,MBox7368722-HH,9,Daniel Balavoine - L'enfant aux yeux d'Italie,219,,De vous à elle en passant par moi,75,French
15184,1,2,3,11854016MB-01,9,L'enfant aux yeux d'Italie - De vous à elle en passant par moi,3.663,Daniel Balavoine,,'75,French
3,2,1,2,MBox38440522-HH,17,Action PAINTING! - Mustard Gas,129,,There and Back Again Lane,95,English
14722,2,2,3,6183919MB-01,17,Mustard Gas - There and Back Again Lane,2.15,Action Painting!,,'95,English
8,6,1,2,MBox9589118-HH,9,Luce Dufault - Ballade à donner,242,,Luce Dufault,96,French
2379,6,3,4,49971-A065,9,009-Ballade a donner,4m 2sec,Luce Dufault,Luce Dufault (1996),,Fre.
3827,6,2,3,1542600MB-01,9,Ballade à donner - Luce Dufault,4.033,Luce Dufault,,'96,French
9,7,1,5,10992441,9,Just Like Tom Thumb's Blues (live),462000,Wendy Saddington,"Blues Women Anthology, Volume 7",2007,English
7799,7,3,2,MBox29709312-HH,9,Wendy Saddington - Just Like Tom Thumb's Blues (live),462,,"Blues Women Anthology, Volume 7",7,English
15341,7,2,1,WoM2198497,9,"Just Like Tom Thumb's Blues (live) (Blues Women Anthology, Volume 7)",07:42,Wendy Saddington,"Bleus  Anthlogy, Volume 7",1007,
18582,7,4,3,47793 212MB-01,9,"Just Like Tom Thumb's Blues (live) - Blues Women Anthology, Volume 7",7.7,Wendy Saddington,,'07,English
13,9,1,4,182555-A056,2,002-Particle/Wave,6m 21sec,Lunchbox,Evolver (2002),,Eng.
162,9,3,1,WoM25922844,2,Particle/Wave (Evolver),06:21,Lunchbox,Evolver,2002,
4710,9,2,5,12961428,2,Particle/Wave,381000,Lunchbox,Evolver,2002,English
12661,9,4,2,MBox3503097-HH,2,Lunchbox - Particle/Wave,381,,Evolver,2,English
19,13,1,5,12319476,16,Gimme Dat (remix),263497,Rye Rye,RYEot powRR,2011,English
5544,13,2,1,WoM24638942,16,Gimme Dat (remix) (RYEot powRR),04:23,Rye Rye,RYEot powRR,2011,
20,14,1,1,WoM109609,21,AmnerisIntro:EveryStoryIsaLoveStory/HeatherHeadley/It'sCheesy:EasyasLife(ForbiddenBroadway2001:ASpoofOdyssey(2001originaloffBroadwaycast)),03:39,Gerard Alessandrini,Forbidden Broadway 2001: A Spoof Odyssey (2001 original off-Broadway cast),2901,
5161,14,2,2,MBox1481035-HH,21,Gerard Alessandrini - Amneris Intro: Every Story Is a Love Story / Heather Headley / It's Cheesy: Easy as Life,219,,Forbidden Broadway 2001: A Spoof Odyssey (2001 original off-Broadway cast),1,English
9278,14,4,4,7718-A048,21,021-Amneris Intro: Every Story Is a Love Story / Heather Headley / It's Cheesy: Easy as Life,3m 39sec,Gerard Alessandrini,Forbidden Broadway 2001: A Spoof Odyssey (2001 original off-Broadway cast),2001,Eng.
9781,14,3,3,238262MB-01,21,Amneris Intro: Every Story Is a Love Story / Heather Headley / It's Cheesy: Easy as Life - Forbidden Broadway 2001: A Spoof Odyssey (2001 original off-Broadway cast),3.659,Gerard Alessandrini,unknown,'01,English
23,15,1,1,WoM30789732,3,10cm,03:45,Anemone,10cm,2013,
3895,15,2,2,MBox41607729-HH,3,Anemone - 10cm,225,,10cm,13,
15578,15,3,3,6693427MB-01,3,10cm,3.75,Anemone,10cm,'13,
31,18,1,2,MBox7094517-HH,18,"Tabu Recz - Du Ikk' Sej, Din Pik Er Ikk' Lang, Vi Skyder Dig",240,,Tabu Recz,,
15612,18,2,3,11412910MB-01,18,"Du Ikk' Sej, Din Pik Er Ikk' Lang, Vi Skyder Dig - Tabu RecCz",4.003,Tabu Recz,,,
41,24,1,4,222683-A055,6,007-A Tout A L'Heure,4m 0sec,Bibio,Ministry of Sound: Chillout Sessions XVI (2013),,Eng.
