name,longitude,latitude,label,source
Petra (Jordan),35.4833,30.3167,0,http://data.nytimes.com/
Petra,,,0,http://dbpedia.org/
Petra,35.4833,30.3167,0,http://sws.geonames.org/
Dresden (Germany),13.7383,51.0509,1,http://data.nytimes.com/
dresden,13.7333,51.05,1,http://rdf.freebase.com/
Dresden,13.7383,51.0509,1,http://sws.geonames.org/
Dresden,13.7333,51.0333,1,http://dbpedia.org/
Cordoba (Spain),-4.76667,37.8833,2,http://data.nytimes.com/
"Cordoba, Spain",,,2,http://dbpedia.org/
Cordova,-4.76667,37.8833,2,http://sws.geonames.org/
cordoba,-4.78333,37.8833,2,http://rdf.freebase.com/
prague,14.4167,50.0833,3,http://rdf.freebase.com/
Prague (Czech Republic),14.4241,50.0878,3,http://data.nytimes.com/
Prague,14.4208,50.088,3,http://sws.geonames.org/
Prague,14.4167,50.0833,3,http://dbpedia.org/
girona,2.81667,41.9833,4,http://rdf.freebase.com/
Girona (Spain),2.82493,41.9831,4,http://data.nytimes.com/
Girona,2.82493,41.9831,4,http://sws.geonames.org/
Girona,2.82111,41.9844,4,http://dbpedia.org/
split,16.4558,43.5139,5,http://rdf.freebase.com/
Split (city),,,5,http://dbpedia.org/
Split (Croatia),16.4392,43.5089,5,http://data.nytimes.com/
Split,16.4392,43.5089,5,http://sws.geonames.org/
San Jose,-121.895,37.3394,6,http://sws.geonames.org/
san jose,-121.873,37.3041,6,http://rdf.freebase.com/
"San Jose, California",,,6,http://dbpedia.org/
San Jose (Calif),-121.895,37.3394,6,http://data.nytimes.com/
moscow,37.616667,55.75,7,http://rdf.freebase.com/
Moscow,37.6178,55.7517,7,http://dbpedia.org/
Moscow (Russia),37.6156,55.7522,7,http://data.nytimes.com/
Moscow,37.6156,55.7522,7,http://sws.geonames.org/
Zermatt (Switzerland),7.75,46.0167,8,http://data.nytimes.com/
zermatt,7.74861,46.016667,8,http://rdf.freebase.com/
Zermatt,7.75,46.0167,8,http://sws.geonames.org/
Zermatt,7.75,46.0167,8,http://dbpedia.org/
Stellenbosch (South Africa),18.85,-33.9333,9,http://data.nytimes.com/
Stellenbosch,18.86,-33.92,9,http://dbpedia.org/
Stellenbosch,18.85,-33.9333,9,http://sws.geonames.org/
stellenbosch western cape,18.86,-33.92,9,http://rdf.freebase.com/
St. Moritz,9.83333,46.5,10,http://sws.geonames.org/
