title,length,artist,album,year,language
Daniel Balavoine - L'enfant aux yeux d'Italie,219,nan,De vous à elle en passant par moi,75,French
L'enfant aux yeux d'Italie - De vous à elle en passant par moi,3.663,Daniel Balavoine,nan,'75,French
Action PAINTING! - Mustard Gas,129,nan,There and Back Again Lane,95,English
Mustard Gas - There and Back Again Lane,2.15,Action Painting!,nan,'95,English
Your Grace,unk.,Kathy Troccoli,Comfort,2005,English
Well You Needn't,321266,Ernie Stadler Jazz Quintet,First Down,2010,English
Try (acoustic) - 2008-02-15: Le Grand Rex  Paris  France,nan,Neil Young,nan,nan,English
Luce Dufault - Ballade à donner,242,nan,Luce Dufault,96,French
009-Ballade a donner,4m 2sec,Luce Dufault,Luce Dufault (1996),nan,Fre.
Ballade à donner - Luce Dufault,4.033,Luce Dufault,nan,'96,French
Just Like Tom Thumb's Blues (live),462000,Wendy Saddington,Blues Women Anthology  Volume 7,2007,English
Wendy Saddington - Just Like Tom Thumb's Blues (live),462,nan,Blues Women Anthology  Volume 7,7,English
Just Like Tom Thumb's Blues (live) (Blues Women Anthology  Volume 7),07:42,Wendy Saddington,Bleus  Anthlogy  Volume 7,1007,nan
Just Like Tom Thumb's Blues (live) - Blues Women Anthology  Volume 7,7.7,Wendy Saddington,nan,'07,English
El Vaquero Chido (The Cool Cowboy),129000,Byron Brizuela & Enrique Carbajal,Mexico,nan,English
002-Particle/Wave,6m 21sec,Lunchbox,Evolver (2002),nan,Eng.
Particle/Wave (Evolver),06:21,Lunchbox,Evolver,2002,nan
Particle/Wave,381000,Lunchbox,Evolver,2002,English
Lunchbox - Particle/Wave,381,nan,Evolver,2,English
001-Deja Vu,3m 36sec,Blanket,Nice (2000),nan,ng.
Marlene Dietrich - Wo ist der Mann?,188,nan,Die frühen Aufnahmen,nan,[Multiple languages]
00-1,3m 52sec,nan,-2010,nan,Jap.
Gimme Dat (remix),263497,Rye Rye,RYEot powRR,2011,English
Gimme Dat (remix) (RYEot powRR),04:23,Rye Rye,RYEot powRR,2011,nan
AmnerisIntro:EveryStoryIsaLoveStory/HeatherHeadley/It'sCheesy:EasyasLife(ForbiddenBroadway2001:ASpoofOdyssey(2001originaloffBroadwaycast)),03:39,Gerard Alessandrini,Forbidden Broadway 2001: A Spoof Odyssey (2001 original off-Broadway cast),2901,nan
Gerard Alessandrini - Amneris Intro: Every Story Is a Love Story / Heather Headley / It's Cheesy: Easy as Life,219,nan,Forbidden Broadway 2001: A Spoof Odyssey (2001 original off-Broadway cast),1,English
021-Amneris Intro: Every Story Is a Love Story / Heather Headley / It's Cheesy: Easy as Life,3m 39sec,Gerard Alessandrini,Forbidden Broadway 2001: A Spoof Odyssey (2001 original off-Broadway cast),2001,Eng.
Amneris Intro: Every Story Is a Love Story / Heather Headley / It's Cheesy: Easy as Life - Forbidden Broadway 2001: A Spoof Odyssey (2001 original off-Broadway cast),3.659,Gerard Alessandrini,unknown,'01,English
10cm,03:45,Anemone,10cm,2013,nan
Anemone - 10cm,225,nan,10cm,13,nan
10cm,3.75,Anemone,10cm,'13,nan
Clouseau - Anne,162,nan,De Pre Historie 1989  Volume 3,0,[Multiple languages]
Placebo Persuasion (More Specific  Less Pacific),02:36,Caesura,More Specific  Less Pacific,2002,nan
Tabu Recz - Du Ikk' Sej  Din Pik Er Ikk' Lang  Vi Skyder Dig,240,nan,Tabu Recz,nan,nan
Du Ikk' Sej  Din Pik Er Ikk' Lang  Vi Skyder Dig - Tabu RecCz,4.003,Tabu Recz,nan,nan,nan
Lass Mich Nie Wieder Weinen (Denn Sie Fahren Hinaus Auf Das Meer),02:21,Peggy Brown,Denn Sie Fahren Hinaus Auf Das Meer,nan,nan
Wayanay - Andes Cosmos,249,nan,Treasures Of The Incas (Andes Cosmos),nan,nan
Special Feature Including A Hybrid Documentary,nan,Hybrid,Morning_Sci-Fi,3,English
I could easily fall in love with you (Cuore matto),00:00,LittleTony,Cuore mattoo,1997,nan
Still in love with you (With This Ring… Forever I Do),04:36,Chris Willis,With This Ring… Forever I Do,2002,nan
007-A Tout A L'Heure,4m 0sec,Bibio,Ministry of Sound: Chillout Sessions XVI (2013),nan,Eng.
À Tout À L'Heure,240000,Bibio,Ministry of Sound: Chillout Sessions XVI,2013,English
Fried Bananas - Live at the Amsterdam Paradiso,12.3,Dexter Gordon,nan,'94,English
002-Fried Bananas,12m 18sec,Dexter Gordon,Live at the Amsterdam Paradiso (1994),nan,Eng.
Fried Bananas,738000,Dexter Gordon,Live at the Amsterdam Paradiso,1994,English
Amikaeyla and Trelawny Rose - Wonderful World,333,nan,To Eva  With Love,11,English
Wonderful World - To Eva  With Love,5.55,Amikaeyla and Trelawny Rose,nan,'11,English
Praia nua (Ensaio - Signo de ar),04:57,Jorge Vercilo,Ensaio - Signo de ar,2005,nan
hWeels of FIRE,230893,Saints & Sinners,Saints & Sinners,nan,nan
Wheels of Fire (Saints & Sinners),03:50,Saints & Sinners,Saints & Sinners,nan,nan
006- of Fire,3m 50sec,Saints & Sinners,Saints & Sinners (unknown),nan,nan
Whe els of Fire - Saints & Sinners,3.848,Saints & Sinners,nan,nan,nan
