3#__tn,3$__tt,5$__idx,1$__cid
idx__0,tt__Daniel Balavoine - L'enfant aux yeux d'Italie,1,1.0
tt__Daniel Balavoine - L'enfant aux yeux d'Italie,cid__title,1.0,1
idx__0,tt__219,1,1.0
tt__219,cid__length,1.0,1
idx__0,tt__De vous à elle en passant par moi,1,1.0
tt__De vous à elle en passant par moi,cid__album,1.0,1
idx__0,tt__75,1,1.0
tt__75,cid__year,1.0,1
idx__0,tt__French,1,1.0
tt__French,cid__language,1.0,1
idx__1,tt__L'enfant aux yeux d'Italie - De vous à elle en passant par moi,1,1.0
tt__L'enfant aux yeux d'Italie - De vous à elle en passant par moi,cid__title,1.0,1
idx__1,tt__3,1,1.0
tt__3,cid__length,1.0,1
idx__1,tt__Daniel Balavoine,1,1.0
tt__Daniel Balavoine,cid__artist,1.0,1
idx__1,tt__'75,1,1.0
tt__'75,cid__year,1.0,1
idx__1,tt__French,1,1.0
tt__French,cid__language,1.0,1
idx__2,tt__Action PAINTING! - Mustard Gas,1,1.0
tt__Action PAINTING! - Mustard Gas,cid__title,1.0,1
idx__2,tt__129,1,1.0
tt__129,cid__length,1.0,1
idx__2,tt__There and Back Again Lane,1,1.0
tt__There and Back Again Lane,cid__album,1.0,1
idx__2,tt__95,1,1.0
tt__95,cid__year,1.0,1
idx__2,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__3,tt__Mustard Gas - There and Back Again Lane,1,1.0
tt__Mustard Gas - There and Back Again Lane,cid__title,1.0,1
idx__3,tt__2,1,1.0
tt__2,cid__length,1.0,1
idx__3,tt__Action Painting!,1,1.0
tt__Action Painting!,cid__artist,1.0,1
idx__3,tt__'95,1,1.0
tt__'95,cid__year,1.0,1
idx__3,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__4,tt__Your Grace,1,1.0
tt__Your Grace,cid__title,1.0,1
idx__4,tt__unk.,1,1.0
tt__unk.,cid__length,1.0,1
idx__4,tt__Kathy Troccoli,1,1.0
tt__Kathy Troccoli,cid__artist,1.0,1
idx__4,tt__Comfort,1,1.0
tt__Comfort,cid__album,1.0,1
idx__4,tt__2005,1,1.0
tt__2005,cid__year,1.0,1
idx__4,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__5,tt__Well You Needn't,1,1.0
tt__Well You Needn't,cid__title,1.0,1
idx__5,tt__321266,1,1.0
tt__321266,cid__length,1.0,1
idx__5,tt__Ernie Stadler Jazz Quintet,1,1.0
tt__Ernie Stadler Jazz Quintet,cid__artist,1.0,1
idx__5,tt__First Down,1,1.0
tt__First Down,cid__album,1.0,1
idx__5,tt__2010,1,1.0
tt__2010,cid__year,1.0,1
idx__5,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__6,tt__Try (acoustic) - 2008-02-15: Le Grand Rex  Paris  France,1,1.0
tt__Try (acoustic) - 2008-02-15: Le Grand Rex  Paris  France,cid__title,1.0,1
idx__6,tt__Neil Young,1,1.0
tt__Neil Young,cid__artist,1.0,1
idx__6,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__7,tt__Luce Dufault - Ballade à donner,1,1.0
tt__Luce Dufault - Ballade à donner,cid__title,1.0,1
idx__7,tt__242,1,1.0
tt__242,cid__length,1.0,1
idx__7,tt__Luce Dufault,1,1.0
tt__Luce Dufault,cid__album,1.0,1
idx__7,tt__96,1,1.0
tt__96,cid__year,1.0,1
idx__7,tt__French,1,1.0
tt__French,cid__language,1.0,1
idx__8,tt__009-Ballade a donner,1,1.0
tt__009-Ballade a donner,cid__title,1.0,1
idx__8,tt__4m 2sec,1,1.0
tt__4m 2sec,cid__length,1.0,1
idx__8,tt__Luce Dufault,1,1.0
tt__Luce Dufault,cid__artist,1.0,1
idx__8,tt__Luce Dufault (1996),1,1.0
tt__Luce Dufault (1996),cid__album,1.0,1
idx__8,tt__Fre.,1,1.0
tt__Fre.,cid__language,1.0,1
idx__9,tt__Ballade à donner - Luce Dufault,1,1.0
tt__Ballade à donner - Luce Dufault,cid__title,1.0,1
idx__9,tt__4,1,1.0
tt__4,cid__length,1.0,1
idx__9,tt__Luce Dufault,1,1.0
tt__Luce Dufault,cid__artist,1.0,1
idx__9,tt__'96,1,1.0
tt__'96,cid__year,1.0,1
idx__9,tt__French,1,1.0
tt__French,cid__language,1.0,1
idx__10,tt__Just Like Tom Thumb's Blues (live),1,1.0
tt__Just Like Tom Thumb's Blues (live),cid__title,1.0,1
idx__10,tt__462000,1,1.0
tt__462000,cid__length,1.0,1
idx__10,tt__Wendy Saddington,1,1.0
tt__Wendy Saddington,cid__artist,1.0,1
idx__10,tt__Blues Women Anthology  Volume 7,1,1.0
tt__Blues Women Anthology  Volume 7,cid__album,1.0,1
idx__10,tt__2007,1,1.0
tt__2007,cid__year,1.0,1
idx__10,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__11,tt__Wendy Saddington - Just Like Tom Thumb's Blues (live),1,1.0
tt__Wendy Saddington - Just Like Tom Thumb's Blues (live),cid__title,1.0,1
idx__11,tt__462,1,1.0
tt__462,cid__length,1.0,1
idx__11,tt__Blues Women Anthology  Volume 7,1,1.0
tt__Blues Women Anthology  Volume 7,cid__album,1.0,1
idx__11,tt__7,1,1.0
tt__7,cid__year,1.0,1
idx__11,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__12,tt__Just Like Tom Thumb's Blues (live) (Blues Women Anthology  Volume 7),1,1.0
tt__Just Like Tom Thumb's Blues (live) (Blues Women Anthology  Volume 7),cid__title,1.0,1
idx__12,tt__07:42,1,1.0
tt__07:42,cid__length,1.0,1
idx__12,tt__Wendy Saddington,1,1.0
tt__Wendy Saddington,cid__artist,1.0,1
idx__12,tt__Bleus  Anthlogy  Volume 7,1,1.0
tt__Bleus  Anthlogy  Volume 7,cid__album,1.0,1
idx__12,tt__1007,1,1.0
tt__1007,cid__year,1.0,1
idx__13,tt__Just Like Tom Thumb's Blues (live) - Blues Women Anthology  Volume 7,1,1.0
tt__Just Like Tom Thumb's Blues (live) - Blues Women Anthology  Volume 7,cid__title,1.0,1
idx__13,tt__7,1,1.0
tt__7,cid__length,1.0,1
idx__13,tt__Wendy Saddington,1,1.0
tt__Wendy Saddington,cid__artist,1.0,1
idx__13,tt__'07,1,1.0
tt__'07,cid__year,1.0,1
idx__13,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__14,tt__El Vaquero Chido (The Cool Cowboy),1,1.0
tt__El Vaquero Chido (The Cool Cowboy),cid__title,1.0,1
idx__14,tt__129000,1,1.0
tt__129000,cid__length,1.0,1
idx__14,tt__Byron Brizuela & Enrique Carbajal,1,1.0
tt__Byron Brizuela & Enrique Carbajal,cid__artist,1.0,1
idx__14,tt__Mexico,1,1.0
tt__Mexico,cid__album,1.0,1
idx__14,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__15,tt__002-Particle/Wave,1,1.0
tt__002-Particle/Wave,cid__title,1.0,1
idx__15,tt__6m 21sec,1,1.0
tt__6m 21sec,cid__length,1.0,1
idx__15,tt__Lunchbox,1,1.0
tt__Lunchbox,cid__artist,1.0,1
idx__15,tt__Evolver (2002),1,1.0
tt__Evolver (2002),cid__album,1.0,1
idx__15,tt__Eng.,1,1.0
tt__Eng.,cid__language,1.0,1
idx__16,tt__Particle/Wave (Evolver),1,1.0
tt__Particle/Wave (Evolver),cid__title,1.0,1
idx__16,tt__06:21,1,1.0
tt__06:21,cid__length,1.0,1
idx__16,tt__Lunchbox,1,1.0
tt__Lunchbox,cid__artist,1.0,1
idx__16,tt__Evolver,1,1.0
tt__Evolver,cid__album,1.0,1
idx__16,tt__2002,1,1.0
tt__2002,cid__year,1.0,1
idx__17,tt__Particle/Wave,1,1.0
tt__Particle/Wave,cid__title,1.0,1
idx__17,tt__381000,1,1.0
tt__381000,cid__length,1.0,1
idx__17,tt__Lunchbox,1,1.0
tt__Lunchbox,cid__artist,1.0,1
idx__17,tt__Evolver,1,1.0
tt__Evolver,cid__album,1.0,1
idx__17,tt__2002,1,1.0
tt__2002,cid__year,1.0,1
idx__17,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__18,tt__Lunchbox - Particle/Wave,1,1.0
tt__Lunchbox - Particle/Wave,cid__title,1.0,1
idx__18,tt__381,1,1.0
tt__381,cid__length,1.0,1
idx__18,tt__Evolver,1,1.0
tt__Evolver,cid__album,1.0,1
idx__18,tt__2,1,1.0
tt__2,cid__year,1.0,1
idx__18,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__19,tt__001-Deja Vu,1,1.0
tt__001-Deja Vu,cid__title,1.0,1
idx__19,tt__3m 36sec,1,1.0
tt__3m 36sec,cid__length,1.0,1
idx__19,tt__Blanket,1,1.0
tt__Blanket,cid__artist,1.0,1
idx__19,tt__Nice (2000),1,1.0
tt__Nice (2000),cid__album,1.0,1
idx__19,tt__ng.,1,1.0
tt__ng.,cid__language,1.0,1
idx__20,tt__Marlene Dietrich - Wo ist der Mann?,1,1.0
tt__Marlene Dietrich - Wo ist der Mann?,cid__title,1.0,1
idx__20,tt__188,1,1.0
tt__188,cid__length,1.0,1
idx__20,tt__Die frühen Aufnahmen,1,1.0
tt__Die frühen Aufnahmen,cid__album,1.0,1
idx__20,tt__[Multiple languages],1,1.0
tt__[Multiple languages],cid__language,1.0,1
idx__21,tt__00-1,1,1.0
tt__00-1,cid__title,1.0,1
idx__21,tt__3m 52sec,1,1.0
tt__3m 52sec,cid__length,1.0,1
idx__21,tt__-2010,1,1.0
tt__-2010,cid__album,1.0,1
idx__21,tt__Jap.,1,1.0
tt__Jap.,cid__language,1.0,1
idx__22,tt__Gimme Dat (remix),1,1.0
tt__Gimme Dat (remix),cid__title,1.0,1
idx__22,tt__263497,1,1.0
tt__263497,cid__length,1.0,1
idx__22,tt__Rye Rye,1,1.0
tt__Rye Rye,cid__artist,1.0,1
idx__22,tt__RYEot powRR,1,1.0
tt__RYEot powRR,cid__album,1.0,1
