query_table,unionable_count
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c1_0____0.csv,229
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c1_0____1.csv,229
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c1_0____2.csv,229
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c1_0____3.csv,229
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c2_0____0.csv,239
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c2_0____1.csv,239
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c2_0____2.csv,239
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c2_0____3.csv,239
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c2_0____4.csv,239
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c2_1____0.csv,229
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c2_1____1.csv,229
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c2_1____2.csv,229
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c2_1____3.csv,229
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c2_1____4.csv,229
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c3_0____0.csv,259
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c3_0____1.csv,259
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c3_0____2.csv,259
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c3_0____3.csv,259
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c3_0____4.csv,259
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c4_0____0.csv,259
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c4_0____1.csv,259
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c4_0____2.csv,259
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c4_0____3.csv,259
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c4_0____4.csv,259
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c4_1____0.csv,229
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c4_1____1.csv,229
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c4_1____2.csv,229
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c4_1____3.csv,229
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c4_1____4.csv,229
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c5_0____0.csv,239
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c5_0____1.csv,239
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c5_0____2.csv,239
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c5_0____3.csv,239
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c5_0____4.csv,239
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c5_1____0.csv,259
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c5_1____1.csv,259
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c5_1____2.csv,259
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c5_1____3.csv,259
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c5_1____4.csv,259
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c6_0____0.csv,229
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c6_0____1.csv,229
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c6_0____2.csv,229
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c6_0____3.csv,229
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c6_0____4.csv,229
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c6_1____0.csv,259
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c6_1____1.csv,259
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c6_1____2.csv,259
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c6_1____3.csv,259
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c6_1____4.csv,259
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c7_0____0.csv,259
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c7_0____1.csv,259
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c7_0____2.csv,259
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c7_0____3.csv,259
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c7_0____4.csv,259
NSF_Plant_Genome_Research_Program_Awards____c1_0____0.csv,4
NSF_Plant_Genome_Research_Program_Awards____c1_1____0.csv,222
NSF_Plant_Genome_Research_Program_Awards____c2_0____0.csv,4
NSF_Plant_Genome_Research_Program_Awards____c2_1____0.csv,251
NSF_Plant_Genome_Research_Program_Awards____c3_0____0.csv,329
NSF_Plant_Genome_Research_Program_Awards____c3_1____0.csv,224
NSF_Plant_Genome_Research_Program_Awards____c4_0____0.csv,357
NSF_Plant_Genome_Research_Program_Awards____c4_1____0.csv,340
NSF_Plant_Genome_Research_Program_Awards____c5_0____0.csv,364
NSF_Plant_Genome_Research_Program_Awards____c5_1____0.csv,364
NSF_Plant_Genome_Research_Program_Awards____c6_0____0.csv,364
PED_SK_DTL_SNF____c10_0____0.csv,520
PED_SK_DTL_SNF____c10_0____1.csv,520
PED_SK_DTL_SNF____c10_0____2.csv,520
PED_SK_DTL_SNF____c10_0____3.csv,524
PED_SK_DTL_SNF____c10_0____4.csv,520
PED_SK_DTL_SNF____c10_1____0.csv,606
PED_SK_DTL_SNF____c10_1____1.csv,606
PED_SK_DTL_SNF____c10_1____2.csv,606
PED_SK_DTL_SNF____c10_1____3.csv,606
PED_SK_DTL_SNF____c10_1____4.csv,606
PED_SK_DTL_SNF____c11_0____0.csv,260
PED_SK_DTL_SNF____c11_0____1.csv,459
PED_SK_DTL_SNF____c11_0____2.csv,260
PED_SK_DTL_SNF____c11_0____3.csv,459
PED_SK_DTL_SNF____c11_0____4.csv,459
PED_SK_DTL_SNF____c11_1____0.csv,591
PED_SK_DTL_SNF____c11_1____1.csv,591
PED_SK_DTL_SNF____c11_1____2.csv,591
PED_SK_DTL_SNF____c11_1____3.csv,591
PED_SK_DTL_SNF____c11_1____4.csv,591
PED_SK_DTL_SNF____c12_0____0.csv,607
PED_SK_DTL_SNF____c12_0____1.csv,607
PED_SK_DTL_SNF____c12_0____2.csv,607
PED_SK_DTL_SNF____c12_0____3.csv,607
PED_SK_DTL_SNF____c12_0____4.csv,607
PED_SK_DTL_SNF____c12_1____0.csv,547
PED_SK_DTL_SNF____c12_1____1.csv,547
PED_SK_DTL_SNF____c12_1____2.csv,547
PED_SK_DTL_SNF____c12_1____3.csv,547
PED_SK_DTL_SNF____c12_1____4.csv,547
PED_SK_DTL_SNF____c13_0____0.csv,593
PED_SK_DTL_SNF____c13_0____1.csv,593
PED_SK_DTL_SNF____c13_0____2.csv,593
PED_SK_DTL_SNF____c13_0____3.csv,593
PED_SK_DTL_SNF____c13_0____4.csv,593
PED_SK_DTL_SNF____c13_1____0.csv,481
PED_SK_DTL_SNF____c13_1____1.csv,481
PED_SK_DTL_SNF____c13_1____2.csv,481
PED_SK_DTL_SNF____c13_1____3.csv,481
PED_SK_DTL_SNF____c13_1____4.csv,481
PED_SK_DTL_SNF____c14_0____0.csv,559
PED_SK_DTL_SNF____c14_0____1.csv,559
PED_SK_DTL_SNF____c14_0____2.csv,559
PED_SK_DTL_SNF____c14_0____3.csv,559
PED_SK_DTL_SNF____c14_0____4.csv,559
PED_SK_DTL_SNF____c14_1____0.csv,535
PED_SK_DTL_SNF____c14_1____1.csv,535
PED_SK_DTL_SNF____c14_1____2.csv,535
PED_SK_DTL_SNF____c14_1____3.csv,535
PED_SK_DTL_SNF____c14_1____4.csv,535
PED_SK_DTL_SNF____c15_0____0.csv,622
PED_SK_DTL_SNF____c15_0____1.csv,622
PED_SK_DTL_SNF____c15_0____2.csv,622
PED_SK_DTL_SNF____c15_0____3.csv,622
PED_SK_DTL_SNF____c15_0____4.csv,622
PED_SK_DTL_SNF____c15_1____0.csv,605
PED_SK_DTL_SNF____c15_1____1.csv,606
PED_SK_DTL_SNF____c15_1____2.csv,605
PED_SK_DTL_SNF____c15_1____3.csv,606
PED_SK_DTL_SNF____c15_1____4.csv,606
PED_SK_DTL_SNF____c16_0____0.csv,572
PED_SK_DTL_SNF____c16_0____1.csv,588
PED_SK_DTL_SNF____c16_0____2.csv,572
PED_SK_DTL_SNF____c16_0____3.csv,588
PED_SK_DTL_SNF____c16_0____4.csv,588
PED_SK_DTL_SNF____c16_1____0.csv,554
PED_SK_DTL_SNF____c16_1____1.csv,555
PED_SK_DTL_SNF____c16_1____2.csv,554
PED_SK_DTL_SNF____c16_1____3.csv,555
PED_SK_DTL_SNF____c16_1____4.csv,555
PED_SK_DTL_SNF____c17_0____0.csv,611
PED_SK_DTL_SNF____c17_0____1.csv,612
PED_SK_DTL_SNF____c17_0____2.csv,611
PED_SK_DTL_SNF____c17_0____3.csv,612
PED_SK_DTL_SNF____c17_0____4.csv,612
PED_SK_DTL_SNF____c17_1____0.csv,622
PED_SK_DTL_SNF____c17_1____1.csv,623
PED_SK_DTL_SNF____c17_1____2.csv,622
PED_SK_DTL_SNF____c17_1____3.csv,623
PED_SK_DTL_SNF____c17_1____4.csv,623
PED_SK_DTL_SNF____c18_0____0.csv,594
PED_SK_DTL_SNF____c18_0____1.csv,595
PED_SK_DTL_SNF____c18_0____2.csv,594
PED_SK_DTL_SNF____c18_0____3.csv,595
PED_SK_DTL_SNF____c18_0____4.csv,595
PED_SK_DTL_SNF____c18_1____0.csv,561
PED_SK_DTL_SNF____c18_1____1.csv,561
PED_SK_DTL_SNF____c18_1____2.csv,561
PED_SK_DTL_SNF____c18_1____3.csv,561
PED_SK_DTL_SNF____c18_1____4.csv,561
PED_SK_DTL_SNF____c19_0____0.csv,618
PED_SK_DTL_SNF____c19_0____1.csv,619
PED_SK_DTL_SNF____c19_0____2.csv,618
PED_SK_DTL_SNF____c19_0____3.csv,619
PED_SK_DTL_SNF____c19_0____4.csv,619
PED_SK_DTL_SNF____c19_1____0.csv,617
PED_SK_DTL_SNF____c19_1____1.csv,617
PED_SK_DTL_SNF____c19_1____2.csv,617
PED_SK_DTL_SNF____c19_1____3.csv,617
PED_SK_DTL_SNF____c19_1____4.csv,617
PED_SK_DTL_SNF____c1_0____0.csv,323
PED_SK_DTL_SNF____c20_0____0.csv,622
PED_SK_DTL_SNF____c20_0____1.csv,623
PED_SK_DTL_SNF____c20_0____2.csv,622
PED_SK_DTL_SNF____c20_0____3.csv,623
PED_SK_DTL_SNF____c20_0____4.csv,623
PED_SK_DTL_SNF____c20_1____0.csv,622
PED_SK_DTL_SNF____c20_1____1.csv,622
PED_SK_DTL_SNF____c20_1____2.csv,622
PED_SK_DTL_SNF____c20_1____3.csv,622
PED_SK_DTL_SNF____c20_1____4.csv,622
PED_SK_DTL_SNF____c21_0____0.csv,572
PED_SK_DTL_SNF____c21_0____1.csv,573
PED_SK_DTL_SNF____c21_0____2.csv,572
PED_SK_DTL_SNF____c21_0____3.csv,573
PED_SK_DTL_SNF____c21_0____4.csv,573
PED_SK_DTL_SNF____c21_1____0.csv,622
PED_SK_DTL_SNF____c21_1____1.csv,623
PED_SK_DTL_SNF____c21_1____2.csv,622
PED_SK_DTL_SNF____c21_1____3.csv,623
PED_SK_DTL_SNF____c21_1____4.csv,623
PED_SK_DTL_SNF____c22_0____0.csv,622
PED_SK_DTL_SNF____c22_0____1.csv,623
PED_SK_DTL_SNF____c22_0____2.csv,622
PED_SK_DTL_SNF____c22_0____3.csv,623
PED_SK_DTL_SNF____c22_0____4.csv,623
PED_SK_DTL_SNF____c22_1____0.csv,622
PED_SK_DTL_SNF____c22_1____1.csv,623
PED_SK_DTL_SNF____c22_1____2.csv,622
PED_SK_DTL_SNF____c22_1____3.csv,623
PED_SK_DTL_SNF____c22_1____4.csv,623
PED_SK_DTL_SNF____c23_0____0.csv,622
PED_SK_DTL_SNF____c23_0____1.csv,623
PED_SK_DTL_SNF____c23_0____2.csv,622
PED_SK_DTL_SNF____c23_0____3.csv,623
PED_SK_DTL_SNF____c23_0____4.csv,623
PED_SK_DTL_SNF____c2_0____0.csv,399
PED_SK_DTL_SNF____c3_0____0.csv,524
PED_SK_DTL_SNF____c3_0____1.csv,524
PED_SK_DTL_SNF____c3_0____2.csv,524
PED_SK_DTL_SNF____c3_0____3.csv,524
PED_SK_DTL_SNF____c3_0____4.csv,524
PED_SK_DTL_SNF____c4_0____0.csv,385
PED_SK_DTL_SNF____c4_0____1.csv,385
PED_SK_DTL_SNF____c4_0____2.csv,385
PED_SK_DTL_SNF____c4_1____0.csv,493
PED_SK_DTL_SNF____c4_1____1.csv,493
PED_SK_DTL_SNF____c4_1____2.csv,493
PED_SK_DTL_SNF____c4_1____3.csv,493
PED_SK_DTL_SNF____c4_1____4.csv,493
PED_SK_DTL_SNF____c5_0____0.csv,489
PED_SK_DTL_SNF____c5_0____1.csv,528
PED_SK_DTL_SNF____c5_0____2.csv,489
PED_SK_DTL_SNF____c5_0____3.csv,528
PED_SK_DTL_SNF____c5_0____4.csv,528
PED_SK_DTL_SNF____c6_0____0.csv,435
PED_SK_DTL_SNF____c6_0____1.csv,435
PED_SK_DTL_SNF____c6_0____2.csv,435
PED_SK_DTL_SNF____c6_0____3.csv,435
PED_SK_DTL_SNF____c6_0____4.csv,435
PED_SK_DTL_SNF____c6_1____0.csv,534
PED_SK_DTL_SNF____c6_1____1.csv,536
PED_SK_DTL_SNF____c6_1____2.csv,534
PED_SK_DTL_SNF____c6_1____3.csv,536
PED_SK_DTL_SNF____c6_1____4.csv,536
PED_SK_DTL_SNF____c7_0____0.csv,260
PED_SK_DTL_SNF____c7_0____1.csv,260
PED_SK_DTL_SNF____c7_0____2.csv,260
PED_SK_DTL_SNF____c7_0____3.csv,260
PED_SK_DTL_SNF____c7_0____4.csv,260
PED_SK_DTL_SNF____c7_1____0.csv,445
PED_SK_DTL_SNF____c7_1____1.csv,487
PED_SK_DTL_SNF____c7_1____2.csv,445
PED_SK_DTL_SNF____c7_1____3.csv,487
PED_SK_DTL_SNF____c7_1____4.csv,487
PED_SK_DTL_SNF____c8_0____0.csv,561
PED_SK_DTL_SNF____c8_0____1.csv,561
PED_SK_DTL_SNF____c8_0____2.csv,561
PED_SK_DTL_SNF____c8_0____3.csv,561
PED_SK_DTL_SNF____c8_0____4.csv,561
PED_SK_DTL_SNF____c8_1____0.csv,544
PED_SK_DTL_SNF____c8_1____1.csv,544
PED_SK_DTL_SNF____c8_1____2.csv,544
PED_SK_DTL_SNF____c8_1____3.csv,545
PED_SK_DTL_SNF____c8_1____4.csv,544
PED_SK_DTL_SNF____c9_0____0.csv,518
PED_SK_DTL_SNF____c9_0____1.csv,518
PED_SK_DTL_SNF____c9_0____2.csv,518
PED_SK_DTL_SNF____c9_0____3.csv,518
PED_SK_DTL_SNF____c9_0____4.csv,518
PED_SK_DTL_SNF____c9_1____0.csv,552
PED_SK_DTL_SNF____c9_1____1.csv,552
PED_SK_DTL_SNF____c9_1____2.csv,552
PED_SK_DTL_SNF____c9_1____3.csv,556
PED_SK_DTL_SNF____c9_1____4.csv,552
PED_YT_DTL_SNF____c10_0____0.csv,494
PED_YT_DTL_SNF____c10_0____1.csv,494
PED_YT_DTL_SNF____c10_0____2.csv,494
PED_YT_DTL_SNF____c10_1____0.csv,457
PED_YT_DTL_SNF____c10_1____1.csv,457
PED_YT_DTL_SNF____c10_1____2.csv,457
PED_YT_DTL_SNF____c11_0____0.csv,432
PED_YT_DTL_SNF____c11_0____1.csv,432
