File,Label
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c1_0____0.parquet,1
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c1_0____1.parquet,1
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c1_0____2.parquet,1
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c1_0____3.parquet,1
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c2_0____0.parquet,1
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c2_0____1.parquet,1
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c2_0____2.parquet,1
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c2_0____3.parquet,1
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c2_0____4.parquet,1
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c2_1____0.parquet,1
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c2_1____1.parquet,1
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c2_1____2.parquet,1
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c2_1____3.parquet,1
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c2_1____4.parquet,1
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c3_0____0.parquet,1
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c3_0____1.parquet,1
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c3_0____2.parquet,1
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c3_0____3.parquet,1
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c3_0____4.parquet,1
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c4_0____0.parquet,1
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c4_0____1.parquet,1
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c4_0____2.parquet,1
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c4_0____3.parquet,1
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c4_0____4.parquet,1
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c4_1____0.parquet,1
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c4_1____1.parquet,1
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c4_1____2.parquet,1
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c4_1____3.parquet,1
CTA_Ridership_Avg_Weekday_Bus_Stop_Boardings_in_October_2012____c4_1____4.parquet,1
