Text,Labels,file_names
@RANK COMPANY 3 YEAR GROWTH REVENUE million STATE@17 ClearCorrect 8625 87 million TX@29 PruGen Pharmaceuticals 6412 74 million AZ@65 PetRays 3249 38 million TX@86 SightLine Health 2868 184 million TX@97 PureFormulascom 2679 99 million FL@103 EndoChoice 2646 94 million GA@120 TFSupplements 2231 102 million TX@122 Vitals 2213 29 million NJ@126 InGenesis Diversified Healthcare Solutions 2177 52 million TX@128 Arcadia Solutions 2117 184 million,Company,10133296_0_1835025541686843841
@Name 5Year Total Return Sales bil Net Income mil Industry@Aaron Rents 147 14 84 Retailing@Abercrombie Fitch 271 37 457 Retailing@Aeropostale 344 15 118 Retailing@Amazoncom 302 131 367 Retailing@Amer Eagle Outfitters 290 30 410 Retailing@Barnes Noble 190 54 148 Retailing@Bed Bath Beyond 29 69 600 Retailing@Best Buy 238 380 1355 Retailing@CarMax 181 79 218 Retailing@Dicks Sporting Goods 442 37 150 Retailing@Dollar Tree Stores 13 43 204 Retailing@Ebay 141 72 164 Retailing@Fastenal 189 20 222 Retailing@GameStop 429 65 228 Retailing@Guess 752 15 163 Retailing@Kohls 62 164 1157 Retailing@Longs Drug Stores 244 52 86 Retailing@Mens Wearhouse 264 21 179 Retailing@OReilly Automotive 188 25 194 Retailing@PC Connection 133 17 21 Retailing@Penske Automotive 250 128 129 Retailing@Petsmart 90 45 260 Retailing@Pricelinecom 595 13 138 Retailing@Ross Stores 31 59 260 Retailing@SherwinWilliams 190 79 613 Retailing,Company,10141841_0_473063208079217959
@Name 5Year Total Return Sales bil Net Income mil Industry@Comcast 42 299 2375 Media@DirecTV Group 159 166 1459 Media@Walt Disney 118 355 4687 Media@RR Donnelley Sons 143 110 243 Media@John Wiley Sons 139 14 118 Media@McGrawHill Cos 113 68 1078 Media@Meredith 61 16 165 Media@News Corp 133 298 3315 Media@Omnicom Group 86 123 939 Media@EW Scripps 32 25 388 Media@Viacom 27 128 1759 Media@WPP Group 115 110 645 Media,Company,10786782_0_7941448888047609465
@Company Symbol Industry Date Added@3M MMM Diversified industrials 891976@Alcoa AA Aluminum 611959@American Express AXP Consumer finance 8301982@ATampT Telecommunication 1111999@Bank America BAC Institutional retail banking 2192008@Boeing BA Aerospace amp defense 3121987@Caterpillar CAT Construction mining equipment 561991@Chevron Corporation CVX Oil gas 2192008@Citigroup C Banking 3171997@CocaCola KO Beverages 3121987@DuPont DD Commodity chemical 11201935@ExxonMobil XOM Integrated oil amp gas 1011928@General Electric GE Conglomerate 1171907@General Motors GM Automobiles 8311925@HewlettPackard HPQ Diversified computer system 3171997@The Home Depot HD Home improvement retailer 1111999@Intel INTC Semiconductors 1111999@IBM IBM Computer service 6291979@Johnson amp Johnson JNJ Pharmaceuticals 3171997@JPMorgan Chase JPM Banking 561991@Kraft Foods KFT Food processing 9222008@McDonald8217s MCD Restaurants amp bar 10301985@Merck MRK Pharmaceuticals 6291979@Microsoft MSFT Software 1111999@Pfizer PFE Pharmaceuticals 482004@Procter amp Gamble PG Nondurable household product 5261932@United Technologies Corporation UTX Aerospace heatingcooling elevator 3141939@Verizon Communications VZ Telecommunication 482004@WalMart WMT Broadline retailer 3171997,Company,12271141_0_213693783755148562
@company symbol industry date added@3m mmm diversified industrials 891976@alcoa aa aluminum 611959@american express axp consumer finance 8301982@atampt telecommunication 1111999@bank america bac institutional retail banking 2192008@boeing ba aerospace amp defense 3121987@caterpillar cat construction mining equipment 561991@chevron corporation cvx oil gas 2192008@citigroup c banking 3171997@cocacola ko beverage 3121987@dupont dd commodity chemical 11201935@exxonmobil xom integrated oil amp gas 1011928@general electric ge conglomerate 1171907@general motor gm automobile 8311925@hewlettpackard hpq diversified computer system 3171997@the home depot hd home improvement retailer 1111999@intel intc semiconductor 1111999@ibm ibm computer service 6291979@johnson amp johnson jnj pharmaceutical 3171997@jpmorgan chase jpm banking 561991@kraft food kft food processing 9222008@mcdonald8217s mcd restaurant amp bar 10301985@merck mrk pharmaceutical 6291979@microsoft msft software 1111999@pfizer pfe pharmaceutical 482004@procter amp gamble pg nondurable household product 5261932@united technology corporation utx aerospace heatingcooling elevator 3141939@verizon communication vz telecommunication 482004@walmart wmt broadline retailer 3171997,Company,12271141_0_8517913935669973086
@Rank Name Country Industry Sales bil Profits bil Assets bil Market Value bil@372 PTT Public Company Thailand Oil gas operation 1658 161 1249 1786@833 Siam Cement Thailand Construction 495 094 663 742@1338 Advanced Info Service Thailand Telecommunications service 248 052 312 712@946 Bangkok Bank Thailand Banking 172 045 3620 570@1418 Thai Petrochemical Ind Thailand Chemicals 397 032 377 436@1153 Kasikornbank Thailand Banking 119 034 2038 407@1215 KrungThai Bank Thailand Banking 139 029 2955 351@1330 Thai Oil Thailand Oil gas operation 606 046 303 315@1211 Siam Commercial Bank Thailand Banking 124 048 1967 312@1865 Thai Airways Intl Thailand Transportation 396 017 554 184@1818 TMB Bank Thailand Banking 057 002 1724 161@1861 Siam City Bank Thailand Banking 054 016 1215 139@1889 Bank Ayudhya Thailand Banking 066 012 1480 131,Company,13437973_0_5297021911125337640
@rank company headquarters industry revenuebillion profitsbillion assetsbillion market valuebillion@1 citigroup usa banking 14656 2154 188432 24742@2 bank america usa banking 11657 2113 145974 22661@3 hsbc uk banking 12151 1663 186076 20229@4 general electric usa conglomerate 16339 2083 69724 35898@5 jpmorgan chase amp co usa banking 9930 1444 135152 17097@6 american international group usa insurance 11319 1401 97941 17447@7 exxonmobil usa oil gas 33509 3950 22395 41065@8 royal dutch shell 160netherlands oil gas 31885 2544 23231 20825@9 ubs switzerland diversified financials 10559 978 177689 11684@10 ing group netherlands diversified financials 15344 965 161505 9399@11 bp uk oil gas 26591 2229 21760 19814@12 toyota japan automotive 17902 1168 24360 21769@13 royal bank scotland uk banking 7741 1251 170535 12413@14 bnp paribas france banking 8916 964 189819 9703@15 allianz germany insurance 12533 881 138088 8722@16 berkshire hathaway usa diversified financials 9854 1102 24844 16379@17 walmart usa retailing 34865 1129 15119 20136@18 barclays uk banking 6771 895 194917 9479@19 chevron usa oil gas 19534 1714 13263 14937@19 total sa france oil gas 17505 1553 13882 15262,Company,14380604_4_3329235705746762392
@SNo Company Ticker Domestic Exchange Industry@1 AP MllerMrsk class MAERSK marine@2 AP MllerMrsk class B MAERSK B marine@3 Carlsberg Group CARL B brewers@4 Dampskibsselskabet Norden DNORD marine@5 Danisco DCO agricultural products@6 Danske Bank DANSKE diversified banks@7 DSV DSV trucking@8 FLSmidth Co FLS construction engineering@9 Genmab GEN biotechnology@10 Jyske Bank JYSK diversified banks@11 Lundbeck LUN pharmaceuticals@12 NKT Holding NKT industrial machinery@13 Nordea AB NDA DKK diversified banks@14 Novo Nordisk NOVO B pharmaceuticals@15 Novozymes NZYM B specialty chemicals@16 Sydbank SYDB diversified banks@17 Topdanmark TOP multiline insurance@18 TrygVesta TRYG property casualty insurance@19 Vestas Wind Systems VWS heavy electrical equipment@20 William Demant WDH health care equipment,Company,15315154_0_3479765624289936080
@SNo Company Ticker Domestic Exchange Industry@1 Cargotec CGCBV industrial machinery@2 Elisa ELI1V integrated telecommunication services@3 Fortum FUM1V electric utilities@4 Kesko KESBV food retail@5 KONE KNEBV industrial machinery@6 Konecranes KCR1V industrial machinery@7 Metso MEO1V industrial machinery@8 Neste Oil NES1V oil gas refining marketing@9 Nokia NOK1V communication equipment@10 Nokian Tyres NRE1V tyre rubber@11 Nordea AB NDA1V diversified banks@12 Orion Corporation ORNBV pharmaceuticals@13 Outokumpu OUT1V steel@14 Outotec OTE1V construction engineering@15 Pohjola Bank POH1S diversified financial services@16 Rautaruukki RTRKS steel@17 Sampo SAMAS multiline insurance@18 Sanoma SAA1V publishing@19 Stora Enso STERV paper products@20 Talvivaara Mining Company TLV1V diversified metal mining@21 TeliaSonera AB TLS1V integrated telecommunication services@22 Tieto TIE1V consulting services@23 UPM UPM1V paper products@24 Wrtsil WRTBV industrial machinery@25 YIT YTY1V construction engineering,Company,15681179_0_4372421798123322859
@company industry employees@fort detrick campus army national cancer institute tenant army national cancer institute tenant 9200@frederick county board education public education 5540@frederick memorial healthcare system comprehensive health care 2295@bechtel corporation headquarters global engineering construction telecommunication 2203@frederick county government county government 2130@saicfrederick medical research 1965@wells fargo home mortgage mortgage loan amp service center 1500@frederick community college twoyear college 899@frederick city government municipal government 852@united health care insurance 832@state farm insurance co regional headquarters 793@walmart consumer good 700@national emergency training center u fire academy fema tenant federal government 577@wegmans grocery store 550@mount saint mary university fouryear college 511@home call inhome medical service 480@nvr building product wood building product 450@lonza bio science walkersville inc biological product 400@hood college four year college 418@plamondon company hospitality hotel restaurant amp restaurant management 396@rr donnelley business document 387@stulz air technology system inc manufacturer commercial air conditioner dehumidifiers 380@frederick county family ymca recreation sport center 350@home depot retail store 330@homewood retirement center retirement community 275@richard f kline asphalt contractor 275@experient conference service 270@canam steel corporation steel joist truss 266@maryland school deaf educational institution 266@transtech ceramic component 260@toysrus toy distribution warehouse amp retail store 260@fountain rock management group corp restaurant management service 250@fannie mae home loan product data center 250@life technology biotech research 250@medimmune biotech manufacturing 246@tyler company real estate hvac mechanical contracting service 245@bbampt full service community bank 242@costco wholesale wholesale general product 232@verizon telecommunication 226@pnc bank banking headquarters amp regional branch 226@tamko roofing product asphalt shingle amp coating material mfg 213,Company,15700884_0_8204220284166767221
