Text,Target,file name,Labels
RANK COMPANY  YEAR GROWTH REVENUE million STATE,Company,10133296_0_1835025541686843841,6
Name Year Total Return Sales bil Net Income mil Industry,Company,10141841_0_473063208079217959,6
Name Year Total Return Sales bil Net Income mil Industry,Company,10786782_0_7941448888047609465,6
Company Symbol Industry Date Added,Company,12271141_0_213693783755148562,6
company symbol industry date added,Company,12271141_0_8517913935669973086,6
Rank Name Country Industry Sales bil Profits bil Assets bil Market Value bil,Company,13437973_0_5297021911125337640,6
rank company headquarters industry revenuebillion profitsbillion assetsbillion market valuebillion,Company,14380604_4_3329235705746762392,6
SNo Company Ticker Domestic Exchange Industry,Company,15315154_0_3479765624289936080,6
SNo Company Ticker Domestic Exchange Industry,Company,15681179_0_4372421798123322859,6
company industry employees,Company,15700884_0_8204220284166767221,6
Company Industry Dividend Yield Industry Average Yield Increase Picks,Company,16867860_0_1493599384745288401,6
S Company Ticker Exchange Industry SU,Company,17362344_1_5095929604749154053,6
Name Type AssetsMillions LocalBranches,Company,17440221_1_1448643917281630024,6
Country Receiving location affiliated Currency,Company,18335243_0_8881690283282252751,6
Dubai Things Dubai Things Price guide Rating ,Company,1904466_2_5599744226885603006,6
RANK COMPANY  YEAR GROWTH REVENUE million STATE,Company,19172543_0_2469672734076921182,6
sym company name industry beta pe div yld weight,Company,22870718_0_8249480766245225618,6
headquarters huntington beach california united states,Company,2785113_0_956031189136675741,6
rank company country industry sale bil profit bil asset bil market value bil,Company,28079336_1_3124145965038277571,6
date company total laid industry,Company,28079336_2_2139598421036200532,6
company industry sales,Company,28423212_0_2742990779532526553,6
Rank Name Country Industry Sales bil Profits bil Assets bil Market Value bil,Company,29805275_0_6329367004902471521,6
Type Title Company Industry,Company,30737414_0_4329295282139475833,6
client industry service case study,Company,33555671_0_505543568993394600,6
Name Country Sales US mil Net Income US mil Market Value US mil Industry,Company,33985546_0_3121845906724822114,6
Country DIRECT CORRESPONDENT BANKS CITY CURRENCY SWIFT ABAFED WIRE,Company,34045478_0_6424257706638980217,6
Symbol Company Sector Industry,Company,3471003_0_5153538774121509372,6
Ticker Company Industry SharePrice MarketValuemil PriceBook Yield,Company,35220411_0_857837380451119553,6
Employer Industry NoJobs Reason EffectiveTo QYr Location,Company,36508695_2_4137125988909119946,6
Rank Company Industry,Company,37945519_0_1651121244316333332,6
Rank Company Industry,Company,39250380_0_7709551743073978946,6
date name bank location action,Company,4118371_0_7941682021632571250,6
company country industry sale bil profit bil asset bil market value bil,Company,41336118_0_4331895026409635103,6
